Values,Timestamp,MA_1000,MA_5000,MA_5,diff1,diff2
72,2024-06-29 20:19:44,69.231,66.4406,72.8,-1.0,-1.0
71,2024-06-29 20:23:36,69.054,66.4272,71.8,-1.0,-1.0
70,2024-06-29 20:27:27,68.815,66.4098,70.8,-1.0,-1.0
69,2024-06-29 20:30:27,68.598,66.3934,69.8,-1.0,-1.0
68,2024-06-29 20:35:42,68.222,66.3666,68.8,-1.0,-1.0
67,2024-06-29 20:39:17,67.958,66.3464,67.8,-1.0,-1.0
66,2024-06-29 20:41:43,67.767,66.3322,66.8,-1.0,-1.0
65,2024-06-29 20:46:58,67.346,66.3004,65.8,-1.0,-1.0
64,2024-06-29 20:51:04,67.01,66.2768,64.8,-1.0,-1.0
63,2024-06-29 20:54:21,66.736,66.2588,63.8,-1.0,-1.0
62,2024-06-29 20:57:06,66.493,66.2432,62.8,-1.0,-1.0
61,2024-06-29 21:04:17,65.825,66.2046,61.8,-1.0,-1.0
60,2024-06-29 21:07:17,65.536,66.188,60.8,-1.0,-1.0
59,2024-06-29 21:12:00,65.069,66.1658,59.8,-1.0,-1.0
58,2024-06-29 21:16:38,64.668,66.1514,58.8,-1.0,-1.0
57,2024-06-29 21:23:00,63.995,66.1442,57.8,-1.0,-1.0
56,2024-06-29 21:25:11,63.766,66.142,56.8,-1.0,-1.0
55,2024-06-29 21:30:57,63.231,66.1344,55.8,-1.0,-1.0
54,2024-06-29 21:33:24,62.996,66.131,54.8,-1.0,-1.0
53,2024-06-29 21:37:49,62.516,66.1266,53.8,-1.0,-1.0
52,2024-06-29 21:41:07,62.191,66.124,52.8,-1.0,-1.0
51,2024-06-29 21:46:53,61.578,66.1204,51.8,-1.0,-1.0
50,2024-06-29 21:49:56,61.226,66.1176,50.8,-1.0,-1.0
49,2024-06-29 21:54:02,61.029,66.1156,49.8,-1.0,-1.0
48,2024-06-29 21:56:47,60.71,66.111,48.8,-1.0,-1.0
47,2024-06-29 22:01:27,60.191,66.1032,47.8,-1.0,-1.0
47,2024-06-29 22:02:18,60.076,66.1018,47.2,-1.0,-2.0
46,2024-06-29 22:04:29,59.843,66.0994,46.8,-1.0,-1.0
45,2024-06-29 22:10:33,59.092,66.0086,45.8,-1.0,-1.0
44,2024-06-29 22:13:00,58.815,65.9556,44.8,-1.0,-1.0
43,2024-06-29 22:20:42,58.081,65.8118,43.8,-1.0,-1.0
42,2024-06-29 22:21:33,57.96,65.7884,42.8,-1.0,-1.0
41,2024-06-29 22:26:13,57.408,65.6822,41.8,-1.0,-1.0
40,2024-06-29 22:28:58,57.066,65.6182,40.8,-1.0,-1.0
39,2024-06-29 22:34:44,56.362,65.4836,39.8,-1.0,-1.0
38,2024-06-29 22:38:53,55.842,65.386,38.8,-1.0,-1.0
37,2024-06-29 22:44:05,55.226,65.2678,37.8,-1.0,-1.0
36,2024-06-29 22:46:51,54.906,65.2066,36.8,-1.0,-1.0
35,2024-06-29 22:55:06,53.956,65.0264,35.8,-1.0,-1.0
34,2024-06-29 23:04:44,52.901,64.8276,34.8,-1.0,-1.0
33,2024-06-29 23:19:17,51.442,64.5504,33.8,-1.0,-1.0
32,2024-06-29 23:24:47,50.984,64.4534,32.8,-1.0,-1.0
99,2024-06-30 04:32:32,55.71,65.3852,99.8,-1.0,-1.0
98,2024-06-30 04:39:58,57.252,65.7386,98.8,-1.0,-1.0
97,2024-06-30 04:46:33,57.804,66.0446,97.8,-1.0,-1.0
96,2024-06-30 04:51:45,58.243,66.2804,96.8,-1.0,-1.0
95,2024-06-30 05:00:16,59.029,66.6788,95.8,-1.0,-1.0
94,2024-06-30 05:07:10,59.72,67.0072,94.8,-1.0,-1.0
93,2024-06-30 05:28:13,60.591,67.4034,93.8,-1.0,-1.0
92,2024-06-30 05:36:28,61.453,67.7758,92.8,-1.0,-1.0
91,2024-06-30 05:46:22,62.552,68.228,91.8,-1.0,-1.0
90,2024-06-30 05:52:07,62.928,68.376,90.8,-1.0,-1.0
89,2024-06-30 06:00:23,63.881,68.7514,89.8,-1.0,-1.0
88,2024-06-30 06:06:24,64.56,69.0122,88.8,-1.0,-1.0
88,2024-06-30 06:06:41,64.619,69.0348,88.6,-1.0,-2.0
87,2024-06-30 06:16:36,65.77,69.4004,87.8,-1.0,-1.0
86,2024-06-30 06:22:55,66.486,69.4096,86.8,-1.0,-1.0
85,2024-06-30 06:27:19,66.992,69.3786,85.8,-1.0,-1.0
84,2024-06-30 06:42:26,68.793,69.217,84.8,-1.0,-1.0
83,2024-06-30 06:46:50,69.415,69.1644,83.8,-1.0,-1.0
82,2024-06-30 06:49:18,69.729,69.1372,82.8,-1.0,-1.0
81,2024-06-30 06:53:41,70.278,69.0858,81.8,-1.0,-1.0
80,2024-06-30 06:58:39,70.797,69.0364,80.8,-1.0,-1.0
79,2024-06-30 07:05:32,71.693,68.9478,79.8,-1.0,-1.0
78,2024-06-30 07:08:48,72.112,68.9044,78.8,-1.0,-1.0
77,2024-06-30 07:13:47,72.805,68.8298,77.8,-1.0,-1.0
76,2024-06-30 07:17:03,73.259,68.7802,76.8,-1.0,-1.0
75,2024-06-30 07:22:17,74.003,68.696,75.8,-1.0,-1.0
74,2024-06-30 07:24:47,74.352,68.6538,74.8,-1.0,-1.0
73,2024-06-30 07:29:43,74.803,68.5964,73.8,-1.0,-1.0
72,2024-06-30 07:33:02,75.25,68.5368,72.8,-1.0,-1.0
71,2024-06-30 07:37:42,75.899,68.4494,71.8,-1.0,-1.0
70,2024-06-30 07:41:17,76.381,68.3848,70.8,-1.0,-1.0
69,2024-06-30 07:45:09,76.924,68.3078,69.8,-1.0,-1.0
68,2024-06-30 07:48:24,77.355,68.245,68.8,-1.0,-1.0
67,2024-06-30 07:52:48,77.915,68.161,67.8,-1.0,-1.0
66,2024-06-30 07:57:30,78.49,68.0714,66.8,-1.0,-1.0
65,2024-06-30 08:04:06,79.289,67.9462,65.8,-1.0,-1.0
64,2024-06-30 08:07:58,79.722,67.8732,64.8,-1.0,-1.0
63,2024-06-30 08:12:05,80.231,67.783,63.8,-1.0,-1.0
62,2024-06-30 08:15:55,80.618,67.7136,62.8,-1.0,-1.0
61,2024-06-30 08:20:35,81.116,67.6232,61.8,-1.0,-1.0
60,2024-06-30 08:23:36,81.463,67.5584,60.8,-1.0,-1.0
59,2024-06-30 08:27:45,81.91,67.4718,59.8,-1.0,-1.0
58,2024-06-30 08:30:14,81.948,67.4228,58.8,-1.0,-1.0
57,2024-06-30 08:33:49,81.825,67.3498,57.8,-1.0,-1.0
56,2024-06-30 08:36:17,81.708,67.2926,56.8,-1.0,-1.0
55,2024-06-30 08:40:24,81.464,67.1948,55.8,-1.0,-1.0
54,2024-06-30 08:42:51,81.311,67.1424,54.8,-1.0,-1.0
53,2024-06-30 08:47:00,81.001,67.0504,53.8,-1.0,-1.0
52,2024-06-30 08:49:27,80.783,66.9922,52.8,-1.0,-1.0
51,2024-06-30 08:52:48,80.638,66.9564,51.8,-1.0,-1.0
50,2024-06-30 08:55:14,80.382,66.8968,50.8,-1.0,-1.0
49,2024-06-30 08:58:17,80.075,66.8306,49.8,-1.0,-1.0
48,2024-06-30 09:04:03,79.607,66.7688,48.8,-1.0,-1.0
47,2024-06-30 09:05:09,79.346,66.7376,47.8,-1.0,-1.0
46,2024-06-30 09:07:36,78.868,66.6798,46.8,-1.0,-1.0
45,2024-06-30 09:10:56,78.381,66.621,45.8,-1.0,-1.0
44,2024-06-30 09:13:23,77.885,66.5614,44.8,-1.0,-1.0
90,2024-06-30 10:28:42,77.448,66.5292,90.8,-1.0,-1.0
89,2024-06-30 10:32:50,77.393,66.5442,89.8,-1.0,-1.0
88,2024-06-30 10:33:23,77.372,66.5488,89.2,-1.0,-1.0
87,2024-06-30 10:36:24,77.327,66.5574,87.8,-1.0,-1.0
86,2024-06-30 10:39:08,77.197,66.581,86.8,-1.0,-1.0
85,2024-06-30 10:43:16,77.064,66.603,85.8,-1.0,-1.0
84,2024-06-30 10:46:34,76.907,66.6274,84.8,-1.0,-1.0
83,2024-06-30 10:51:47,76.659,66.6652,83.8,-1.0,-1.0
82,2024-06-30 10:53:58,76.566,66.6788,82.8,-1.0,-1.0
81,2024-06-30 10:57:50,76.355,66.707,81.8,-1.0,-1.0
80,2024-06-30 11:00:01,76.219,66.7246,80.8,-1.0,-1.0
79,2024-06-30 11:04:09,76.049,66.7448,79.8,-1.0,-1.0
78,2024-06-30 11:06:21,75.904,66.7608,78.8,-1.0,-1.0
76,2024-06-30 11:13:13,75.817,66.7684,77.6,-2.0,-2.0
75,2024-06-30 11:14:52,75.683,66.778,75.8,-1.0,-1.0
74,2024-06-30 11:16:47,75.644,66.7802,75.2,-1.0,-1.0
73,2024-06-30 11:19:31,75.423,66.791,73.8,-1.0,-1.0
72,2024-06-30 11:21:12,75.275,66.7964,72.8,-1.0,-1.0
71,2024-06-30 11:25:35,75.186,66.7986,71.8,-1.0,-1.0
70,2024-06-30 11:26:43,75.116,66.7996,71.0,-1.0,-1.0
69,2024-06-30 11:30:49,75.019,66.8002,69.8,-1.0,-1.0
68,2024-06-30 11:32:28,74.919,66.8,68.8,-1.0,-1.0
67,2024-06-30 11:36:17,74.593,66.798,67.8,-1.0,-1.0
66,2024-06-30 11:38:31,74.384,66.7962,66.8,-1.0,-1.0
66,2024-06-30 11:39:20,74.278,66.7958,66.4,-1.0,-1.0
65,2024-06-30 11:42:05,74.011,66.7936,65.8,-1.0,-1.0
64,2024-06-30 11:46:13,73.929,66.7924,65.0,-1.0,-1.0
63,2024-06-30 11:48:41,73.648,66.7882,63.8,-1.0,-1.0
62,2024-06-30 11:52:00,73.27,66.7808,62.8,-1.0,-1.0
61,2024-06-30 11:56:56,72.68,66.7714,61.8,-1.0,-1.0
60,2024-06-30 11:59:08,72.416,66.7672,60.8,-1.0,-1.0
59,2024-06-30 12:02:26,72.025,66.7608,59.8,-1.0,-1.0
59,2024-06-30 12:02:58,71.964,66.7598,59.6,-1.0,-2.0
58,2024-06-30 12:05:28,71.653,66.7546,58.8,-1.0,-1.0
57,2024-06-30 12:07:57,71.341,66.7494,57.8,-1.0,-1.0
56,2024-06-30 12:09:02,71.212,66.7468,56.8,-1.0,-1.0
55,2024-06-30 12:12:04,70.816,66.737,55.8,-1.0,-1.0
54,2024-06-30 12:13:26,70.617,66.7308,54.8,-1.0,-1.0
53,2024-06-30 12:17:01,70.14,66.7164,53.8,-1.0,-1.0
52,2024-06-30 12:18:38,69.964,66.7104,52.8,-1.0,-1.0
51,2024-06-30 12:21:25,69.747,66.703,51.8,-1.0,-1.0
50,2024-06-30 12:22:47,69.561,66.6958,50.8,-1.0,-1.0
49,2024-06-30 12:26:22,69.225,66.6818,49.8,-1.0,-1.0
48,2024-06-30 12:27:29,69.034,66.6786,48.8,-1.0,-1.0
48,2024-06-30 12:28:34,68.879,66.6756,48.2,-1.0,-2.0
47,2024-06-30 12:31:52,68.722,66.6722,47.8,-1.0,-1.0
46,2024-06-30 12:32:23,68.641,66.67,47.2,-1.0,-1.0
45,2024-06-30 12:35:43,68.079,66.656,45.8,-1.0,-1.0
44,2024-06-30 12:37:22,67.835,66.6498,44.8,-1.0,-1.0
43,2024-06-30 12:40:23,67.342,66.6352,43.8,-1.0,-1.0
42,2024-06-30 12:43:41,66.753,66.6176,42.8,-1.0,-1.0
41,2024-06-30 12:47:33,66.15,66.6022,41.8,-1.0,-1.0
40,2024-06-30 12:54:08,65.019,66.579,40.8,-1.0,-1.0
39,2024-06-30 12:56:37,64.584,66.5748,39.8,-1.0,-1.0
38,2024-06-30 12:59:05,64.15,66.5702,38.8,-1.0,-1.0
38,2024-06-30 13:00:10,64.02,66.5688,38.6,-1.0,-1.0
37,2024-06-30 13:04:02,63.325,66.559,37.8,-1.0,-1.0
36,2024-06-30 13:05:40,63.061,66.554,36.8,-1.0,-1.0
35,2024-06-30 13:11:28,62.004,66.5302,35.8,-1.0,-1.0
34,2024-06-30 13:14:11,61.562,66.52,34.8,-1.0,-1.0
33,2024-06-30 13:19:09,60.678,66.4958,33.8,-1.0,-1.0
33,2024-06-30 13:20:16,60.5,66.4904,33.2,-1.0,-2.0
32,2024-06-30 13:26:01,59.541,66.4594,32.8,-1.0,-1.0
31,2024-06-30 13:33:11,58.458,66.4192,31.8,-1.0,-1.0
30,2024-06-30 13:43:38,57.032,66.3578,30.8,-1.0,-1.0
29,2024-06-30 13:53:32,55.445,66.1872,29.8,-1.0,-1.0
28,2024-06-30 14:06:27,53.509,65.6988,28.8,-1.0,-1.0
27,2024-06-30 14:15:14,52.192,65.3938,27.8,-1.0,-1.0
26,2024-06-30 14:26:15,51.059,65.1598,26.8,-1.0,-1.0
25,2024-06-30 14:42:45,48.837,64.758,25.8,-1.0,-1.0
25,2024-06-30 14:43:35,48.711,64.737,25.6,-1.0,-1.0
99,2024-06-30 17:54:41,49.335,64.9262,99.8,-1.0,-1.0
98,2024-06-30 19:22:04,53.381,65.7842,98.8,-1.0,-1.0
97,2024-06-30 19:27:33,53.651,66.0108,97.8,-1.0,-1.0
96,2024-06-30 20:02:59,55.679,67.4326,96.8,-1.0,-1.0
95,2024-06-30 20:21:57,57.811,68.266,95.8,-1.0,-1.0
94,2024-06-30 20:25:47,58.332,68.445,94.8,-1.0,-1.0
93,2024-06-30 20:42:16,59.845,68.9452,93.8,-1.0,-1.0
92,2024-06-30 20:55:12,61.721,69.4928,92.8,-1.0,-1.0
91,2024-06-30 21:08:08,63.843,69.9386,91.8,-1.0,-1.0
90,2024-06-30 21:12:48,64.73,70.0752,90.8,-1.0,-1.0
90,2024-06-30 21:13:38,64.873,70.0948,90.6,-1.0,-1.0
89,2024-06-30 21:27:23,67.043,70.331,89.8,-1.0,-1.0
88,2024-06-30 21:38:06,69.188,70.4546,88.8,-1.0,-1.0
87,2024-06-30 21:48:16,70.583,70.495,87.8,-1.0,-1.0
86,2024-06-30 22:05:19,73.445,70.4234,86.8,-1.0,-1.0
85,2024-06-30 22:10:34,74.248,70.3812,85.8,-1.0,-1.0
84,2024-06-30 22:19:05,75.851,70.295,84.8,-1.0,-1.0
83,2024-06-30 22:24:50,76.964,70.236,83.8,-1.0,-1.0
82,2024-06-30 22:30:04,78.076,70.1728,82.8,-1.0,-1.0
82,2024-06-30 22:30:36,78.181,70.1666,82.6,-1.0,-2.0
81,2024-06-30 22:35:51,78.856,70.1248,81.8,-1.0,-1.0
80,2024-06-30 22:37:13,79.165,70.1042,80.8,-1.0,-1.0
79,2024-06-30 22:42:10,80.133,70.0356,79.8,-1.0,-1.0
78,2024-06-30 22:45:28,80.232,70.028,79.2,-1.0,-1.0
77,2024-06-30 22:52:04,80.917,69.9746,77.8,-1.0,-1.0
76,2024-06-30 22:54:33,81.396,69.9344,76.8,-1.0,-1.0
75,2024-06-30 23:00:19,82.114,69.8712,75.8,-1.0,-1.0
74,2024-06-30 23:04:58,82.771,69.81,74.8,-1.0,-1.0
73,2024-06-30 23:11:52,83.421,69.7482,73.8,-1.0,-1.0
72,2024-06-30 23:16:14,83.88,69.7026,72.8,-1.0,-1.0
70,2024-06-30 23:23:42,83.968,69.693,72.0,-2.0,-2.0
69,2024-06-30 23:27:14,84.053,69.6828,70.6,-1.0,-1.0
68,2024-06-30 23:30:02,84.262,69.6566,68.8,-1.0,-1.0
67,2024-06-30 23:40:27,84.928,69.5726,67.8,-1.0,-1.0
67,2024-06-30 23:41:16,85.053,69.5568,67.6,-1.0,-1.0
67,2024-06-30 23:41:50,85.178,69.541,67.6,-1.0,-1.0
67,2024-06-30 23:42:24,85.261,69.5304,67.6,-1.0,-2.0
66,2024-06-30 23:46:46,85.547,69.4924,66.8,-1.0,-1.0
65,2024-06-30 23:55:19,86.506,69.3578,65.8,-1.0,-1.0
64,2024-06-30 23:58:20,86.583,69.346,65.2,-1.0,-1.0
63,2024-07-01 00:03:32,87.0,69.2798,63.8,-1.0,-1.0
62,2024-07-01 00:08:46,87.185,69.2486,62.8,-1.0,-1.0
61,2024-07-01 00:15:07,88.034,69.1044,61.8,-1.0,-1.0
60,2024-07-01 00:18:08,87.829,69.0346,60.8,-1.0,-1.0
82,2024-07-01 01:07:48,86.725,68.8764,82.8,-1.0,-1.0
80,2024-07-01 01:18:32,86.655,68.8684,81.6,-2.0,-2.0
79,2024-07-01 01:28:43,86.141,68.8088,79.8,-1.0,-1.0
79,2024-07-01 01:30:05,86.042,68.797,79.2,-1.0,-2.0
78,2024-07-01 01:33:07,85.881,68.7776,78.8,-1.0,-1.0
77,2024-07-01 01:39:40,85.504,68.731,77.8,-1.0,-1.0
76,2024-07-01 01:44:56,85.064,68.6762,76.8,-1.0,-1.0
74,2024-07-01 02:02:30,84.831,68.645,75.6,-2.0,-2.0
73,2024-07-01 02:11:17,84.025,68.538,73.8,-1.0,-1.0
72,2024-07-01 02:16:14,83.568,68.4796,72.8,-1.0,-1.0
71,2024-07-01 02:22:51,82.892,68.393,71.8,-1.0,-1.0
70,2024-07-01 02:26:43,82.501,68.3418,70.8,-1.0,-1.0
69,2024-07-01 02:32:12,81.907,68.2628,69.8,-1.0,-1.0
68,2024-07-01 02:36:02,81.528,68.2122,68.8,-1.0,-1.0
67,2024-07-01 02:40:27,81.051,68.1508,67.8,-1.0,-1.0
66,2024-07-01 02:46:46,80.354,68.0594,66.8,-1.0,-1.0
65,2024-07-01 02:52:33,79.668,67.9702,65.8,-1.0,-1.0
65,2024-07-01 02:53:07,79.579,67.9584,65.4,-1.0,-2.0
64,2024-07-01 02:56:08,79.222,67.9102,64.8,-1.0,-1.0
63,2024-07-01 03:03:50,78.411,67.7966,63.8,-1.0,-1.0
62,2024-07-01 03:07:57,77.916,67.726,62.8,-1.0,-1.0
61,2024-07-01 03:14:48,77.14,67.6152,61.8,-1.0,-1.0
60,2024-07-01 03:18:57,76.627,67.5414,60.8,-1.0,-1.0
59,2024-07-01 03:25:49,76.075,67.4614,59.8,-1.0,-1.0
58,2024-07-01 03:30:15,75.612,67.3968,58.8,-1.0,-1.0
57,2024-07-01 03:36:17,74.863,67.2954,57.8,-1.0,-1.0
56,2024-07-01 03:39:51,74.383,67.2288,56.8,-1.0,-1.0
55,2024-07-01 03:45:54,73.556,67.115,55.8,-1.0,-1.0
54,2024-07-01 03:48:54,73.17,67.0634,54.8,-1.0,-1.0
53,2024-07-01 03:55:32,72.238,66.9384,53.8,-1.0,-1.0
52,2024-07-01 04:00:28,71.589,66.8504,52.8,-1.0,-1.0
51,2024-07-01 04:05:24,70.885,66.7582,51.8,-1.0,-1.0
50,2024-07-01 04:08:27,70.402,66.693,50.8,-1.0,-1.0
49,2024-07-01 04:13:08,69.757,66.6044,49.8,-1.0,-1.0
48,2024-07-01 04:16:25,69.3,66.5426,48.8,-1.0,-1.0
48,2024-07-01 04:17:49,69.07,66.5134,48.8,-1.0,-1.0
47,2024-07-01 04:22:29,68.328,66.4182,47.8,-1.0,-1.0
47,2024-07-01 04:23:18,68.209,66.4028,47.4,-1.0,-2.0
46,2024-07-01 04:27:41,67.533,66.3166,46.8,-1.0,-1.0
45,2024-07-01 04:37:36,65.962,66.1198,45.8,-1.0,-1.0
44,2024-07-01 04:54:39,64.762,65.9804,44.8,-1.0,-1.0
43,2024-07-01 05:05:07,63.251,65.8124,43.8,-1.0,-1.0
99,2024-07-01 10:35:15,63.299,66.0334,99.8,-1.0,-1.0
98,2024-07-01 10:46:14,64.529,66.4076,98.8,-1.0,-1.0
97,2024-07-01 11:01:06,66.467,66.9818,97.8,-1.0,-1.0
96,2024-07-01 11:08:47,67.488,67.2714,96.8,-1.0,-1.0
95,2024-07-01 11:57:40,69.371,68.2222,95.8,-1.0,-1.0
94,2024-07-01 12:13:53,70.59,68.731,94.8,-1.0,-1.0
93,2024-07-01 12:22:24,71.286,68.8608,93.8,-1.0,-1.0
92,2024-07-01 12:28:09,71.745,68.9504,92.8,-1.0,-1.0
91,2024-07-01 12:33:40,72.221,69.0482,91.8,-1.0,-1.0
90,2024-07-01 12:39:09,72.661,69.1396,90.8,-1.0,-1.0
89,2024-07-01 12:47:41,73.397,69.2932,89.8,-1.0,-1.0
88,2024-07-01 12:51:16,73.682,69.3528,88.8,-1.0,-1.0
87,2024-07-01 12:57:02,74.113,69.445,87.8,-1.0,-1.0
86,2024-07-01 12:59:13,74.301,69.4862,86.8,-1.0,-1.0
85,2024-07-01 13:06:07,74.874,69.613,85.8,-1.0,-1.0
85,2024-07-01 13:06:56,74.939,69.6272,85.6,-1.0,-1.0
84,2024-07-01 13:11:52,75.342,69.716,84.8,-1.0,-1.0
83,2024-07-01 13:16:34,75.748,69.8062,83.8,-1.0,-1.0
82,2024-07-01 13:19:19,75.978,69.858,82.8,-1.0,-1.0
81,2024-07-01 13:23:58,76.349,69.9424,81.8,-1.0,-1.0
80,2024-07-01 13:27:17,76.638,70.0066,80.8,-1.0,-1.0
79,2024-07-01 13:30:53,76.924,70.0706,79.8,-1.0,-1.0
78,2024-07-01 13:33:04,77.105,70.1118,78.8,-1.0,-1.0
77,2024-07-01 13:37:11,77.424,70.1832,77.8,-1.0,-1.0
76,2024-07-01 13:41:02,77.719,70.2514,76.8,-1.0,-1.0
75,2024-07-01 13:45:26,78.035,70.3236,75.8,-1.0,-1.0
74,2024-07-01 13:48:28,78.167,70.3552,74.8,-1.0,-1.0
73,2024-07-01 13:52:02,78.428,70.4166,73.8,-1.0,-1.0
72,2024-07-01 13:54:47,78.635,70.464,72.8,-1.0,-1.0
71,2024-07-01 13:58:21,78.85,70.5154,71.8,-1.0,-1.0
70,2024-07-01 14:01:55,79.079,70.5724,70.8,-1.0,-1.0
69,2024-07-01 14:07:26,79.447,70.6652,69.8,-1.0,-1.0
68,2024-07-01 14:09:21,79.583,70.7002,68.8,-1.0,-1.0
67,2024-07-01 14:14:35,79.735,70.7396,67.8,-1.0,-1.0
66,2024-07-01 14:17:02,79.816,70.7604,66.8,-1.0,-1.0
65,2024-07-01 14:22:00,80.14,70.842,65.8,-1.0,-1.0
64,2024-07-01 14:24:12,80.285,70.8796,64.8,-1.0,-1.0
63,2024-07-01 14:28:04,80.536,70.9434,63.8,-1.0,-1.0
62,2024-07-01 14:31:22,80.735,70.997,62.8,-1.0,-1.0
61,2024-07-01 14:35:29,80.976,71.0622,61.8,-1.0,-1.0
60,2024-07-01 14:38:14,81.125,71.1032,60.8,-1.0,-1.0
59,2024-07-01 14:41:49,81.334,71.163,59.8,-1.0,-1.0
58,2024-07-01 14:45:40,81.53,71.2224,58.8,-1.0,-1.0
57,2024-07-01 14:49:47,81.737,71.2854,57.8,-1.0,-1.0
56,2024-07-01 15:02:41,82.347,71.481,56.8,-1.0,-1.0
55,2024-07-01 15:06:00,82.497,71.5302,55.8,-1.0,-1.0
54,2024-07-01 15:08:29,82.616,71.57,54.8,-1.0,-1.0
53,2024-07-01 15:12:03,82.598,71.623,53.8,-1.0,-1.0
52,2024-07-01 15:17:17,82.174,71.6556,52.8,-1.0,-1.0
50,2024-07-01 15:19:29,81.732,71.686,50.8,-1.0,-1.0
49,2024-07-01 15:24:43,80.781,71.7466,49.8,-1.0,-1.0
49,2024-07-01 15:25:49,80.583,71.7592,49.6,-1.0,-1.0
47,2024-07-01 15:32:08,80.331,71.7738,48.6,-2.0,-2.0
46,2024-07-01 15:36:15,79.498,71.8152,46.8,-1.0,-1.0
87,2024-07-01 16:49:55,79.307,71.8556,71.4,-2.0,-2.0
86,2024-07-01 16:51:16,79.246,71.9094,86.8,-1.0,-1.0
85,2024-07-01 16:55:23,79.044,72.0792,85.8,-1.0,-1.0
84,2024-07-01 16:59:47,78.9,72.1956,84.8,-1.0,-1.0
83,2024-07-01 17:05:02,78.619,72.4034,83.8,-1.0,-1.0
82,2024-07-01 17:07:27,78.498,72.4576,82.8,-1.0,-1.0
81,2024-07-01 17:10:47,78.273,72.499,81.8,-1.0,-1.0
80,2024-07-01 17:13:15,78.112,72.5238,80.8,-1.0,-1.0
79,2024-07-01 17:17:22,77.856,72.5534,79.8,-1.0,-1.0
78,2024-07-01 17:19:51,77.681,72.568,78.8,-1.0,-1.0
77,2024-07-01 17:25:37,77.554,72.5756,77.8,-1.0,-1.0
76,2024-07-01 17:27:15,77.439,72.5798,76.8,-1.0,-1.0
75,2024-07-01 17:30:01,77.218,72.5834,75.8,-1.0,-1.0
74,2024-07-01 17:32:13,77.154,72.5832,75.0,-1.0,-1.0
73,2024-07-01 17:35:47,76.845,72.5772,73.8,-1.0,-1.0
72,2024-07-01 17:37:10,76.752,72.5738,72.8,-1.0,-1.0
71,2024-07-01 17:40:59,76.559,72.5642,71.8,-1.0,-1.0
69,2024-07-01 17:48:42,76.357,72.5348,70.6,-2.0,-2.0
68,2024-07-01 17:53:24,76.14,72.485,68.8,-1.0,-1.0
67,2024-07-01 17:56:24,75.831,72.4144,67.8,-1.0,-1.0
66,2024-07-01 18:01:06,75.572,72.3548,66.8,-1.0,-1.0
65,2024-07-01 18:03:15,75.339,72.3002,65.8,-1.0,-1.0
64,2024-07-01 18:07:25,74.858,72.1906,64.8,-1.0,-1.0
63,2024-07-01 18:12:55,74.175,72.0374,63.8,-1.0,-1.0
62,2024-07-01 18:16:45,73.886,71.9742,62.8,-1.0,-1.0
61,2024-07-01 18:21:43,73.302,71.8456,61.8,-1.0,-1.0
60,2024-07-01 18:23:38,73.037,71.7878,60.8,-1.0,-1.0
59,2024-07-01 18:25:50,72.968,71.7728,60.2,-1.0,-1.0
58,2024-07-01 18:28:52,72.547,71.683,58.8,-1.0,-1.0
57,2024-07-01 18:37:23,71.775,71.5156,57.8,-1.0,-1.0
56,2024-07-01 18:39:51,71.423,71.4386,56.8,-1.0,-1.0
54,2024-07-01 18:45:21,71.349,71.4226,56.0,-2.0,-2.0
53,2024-07-01 18:49:12,70.781,71.2994,53.8,-1.0,-1.0
52,2024-07-01 18:52:13,70.324,71.1998,52.8,-1.0,-1.0
52,2024-07-01 18:53:53,70.055,71.1416,52.6,-1.0,-1.0
51,2024-07-01 18:57:11,69.826,71.091,51.8,-1.0,-1.0
50,2024-07-01 18:59:07,69.747,71.0736,51.2,-1.0,-1.0
49,2024-07-01 19:03:45,69.026,70.9162,49.8,-1.0,-1.0
48,2024-07-01 19:06:46,68.538,70.8104,48.8,-1.0,-1.0
47,2024-07-01 19:12:51,67.529,70.5874,47.8,-1.0,-1.0
46,2024-07-01 19:18:03,66.772,70.4162,46.8,-1.0,-1.0
45,2024-07-01 19:27:59,65.189,70.0578,45.8,-1.0,-1.0
44,2024-07-01 19:32:07,65.03,70.0216,44.8,-1.0,-1.0
43,2024-07-01 19:37:36,64.154,69.8212,43.8,-1.0,-1.0
43,2024-07-01 19:38:59,63.956,69.7756,43.4,-1.0,-1.0
42,2024-07-01 19:42:17,63.447,69.6568,42.8,-1.0,-1.0
41,2024-07-01 19:50:32,62.166,69.353,41.8,-1.0,-1.0
40,2024-07-01 19:53:16,61.784,69.2606,40.8,-1.0,-1.0
39,2024-07-01 20:09:13,59.527,68.6936,39.8,-1.0,-1.0
38,2024-07-01 20:18:02,58.354,68.3738,38.8,-1.0,-1.0
37,2024-07-01 20:41:24,56.011,67.7,37.8,-1.0,-1.0
36,2024-07-01 20:49:37,55.187,67.4454,36.8,-1.0,-1.0
35,2024-07-01 21:00:22,54.14,67.1108,35.8,-1.0,-1.0
34,2024-07-01 21:06:08,53.781,66.9946,34.8,-1.0,-1.0
34,2024-07-01 21:07:47,53.615,66.9404,34.4,-1.0,-1.0
33,2024-07-01 21:27:52,51.828,66.3694,33.8,-1.0,-1.0
33,2024-07-01 21:29:30,51.687,66.3228,33.8,-1.0,-1.0
32,2024-07-01 21:39:08,51.0,66.076,32.8,-1.0,-1.0
99,2024-07-01 23:16:39,46.985,65.7336,99.8,-1.0,-1.0
